Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,home_clean,team_clean,intFormedYear,intStadiumCapacity,strLeague,anios_historia,total_goles_partido,diferencia_goles,resultado_target,cluster_kmeans
09/04/2023,Valladolid,Mallorca,3,3,D,10,14,6,6,1,2,valladolid,,1900.0,38279.0,Liga_Desconocida,126.0,6,0,Empate,2
09/04/2023,Betis,Cadiz,0,2,A,9,15,3,4,5,6,betis,,1900.0,38279.0,Liga_Desconocida,126.0,2,-2,Derrota_Local,2
09/04/2023,Almeria,Valencia,2,1,H,10,11,4,4,3,7,almeria,,1900.0,38279.0,Liga_Desconocida,126.0,3,1,Victoria_Local,0
09/04/2023,Vallecano,Ath Madrid,1,2,A,15,14,3,4,8,2,vallecano,,1900.0,38279.0,Liga_Desconocida,126.0,3,-1,Derrota_Local,2
10/04/2023,Barcelona,Girona,0,0,D,18,5,3,0,12,2,barcelona,barcelona,1899.0,99354.0,Spanish La Liga,127.0,0,0,Empate,1
14/04/2023,Vallecano,Osasuna,2,1,H,12,8,3,4,2,3,vallecano,,1900.0,38279.0,Liga_Desconocida,126.0,3,1,Victoria_Local,0
15/04/2023,Villarreal,Valladolid,1,2,A,22,14,7,7,8,5,villarreal,,1900.0,38279.0,Liga_Desconocida,126.0,3,-1,Derrota_Local,2
15/04/2023,Ath Bilbao,Sociedad,2,0,H,13,13,5,4,5,2,ath bilbao,,1900.0,38279.0,Liga_Desconocida,126.0,2,2,Victoria_Local,0
15/04/2023,Betis,Espanol,3,1,H,15,13,8,4,4,13,betis,,1900.0,38279.0,Liga_Desconocida,126.0,4,2,Victoria_Local,1
15/04/2023,Cadiz,Real Madrid,0,2,A,12,35,3,11,2,9,cadiz,,1900.0,38279.0,Liga_Desconocida,126.0,2,-2,Derrota_Local,2
16/04/2023,Girona,Elche,2,0,H,14,13,4,5,3,4,girona,,1900.0,38279.0,Liga_Desconocida,126.0,2,2,Victoria_Local,0
16/04/2023,Getafe,Barcelona,0,0,D,5,15,1,3,1,5,getafe,getafe,1946.0,17393.0,Spanish La Liga,80.0,0,0,Empate,0
16/04/2023,Ath Madrid,Almeria,2,1,H,19,2,7,0,9,2,ath madrid,,1900.0,38279.0,Liga_Desconocida,126.0,3,1,Victoria_Local,0
16/04/2023,Valencia,Sevilla,0,2,A,13,6,3,3,6,2,valencia,,1900.0,38279.0,Liga_Desconocida,126.0,2,-2,Derrota_Local,2
17/04/2023,Celta,Mallorca,0,1,A,12,8,3,2,7,5,celta,,1900.0,38279.0,Liga_Desconocida,126.0,1,-1,Derrota_Local,0
21/04/2023,Espanol,Cadiz,0,0,D,14,11,5,2,6,3,espanol,,1900.0,38279.0,Liga_Desconocida,126.0,0,0,Empate,0
22/04/2023,Osasuna,Betis,3,2,H,10,21,5,6,5,13,osasuna,,1900.0,38279.0,Liga_Desconocida,126.0,5,1,Victoria_Local,1
